,artist,painting,sore
0,juan-gris,portrait-of-pablo-picasso-1912.jpg,1
1,juan-gris,guitar-and-pipe-1913.jpg,1
2,juan-gris,photograph-of-violin-and-checkerboard-1913.jpg,1
3,juan-gris,a-man-in-a-cafe-1914.jpg,1
4,juan-gris,the-bottle-of-anis-del-mono-1914.jpg,1
5,juan-gris,fantomas-1915.jpg,1
6,juan-gris,still-life-with-checked-tablecloth-1915.jpg,1
7,juan-gris,harlequin-with-guitar-1919.jpg,1
8,juan-gris,beer-glass-and-cards.jpg,1
9,juan-gris,woman-with-basket-1927.jpg,1
10,juan-gris,the-goblet-1927.jpg,1
11,juan-gris,guitar-and-music-paper-1927.jpg,1
12,juan-gris,bowl-and-book-1927.jpg,1
13,juan-gris,the-table-in-front-of-the-picture-1926.jpg,1
14,juan-gris,the-reader-1926.jpg,1
15,juan-gris,the-musician-s-table-1926.jpg,1
16,juan-gris,fruit-with-bowl-1926.jpg,1
17,juan-gris,bananas.jpg,1
18,juan-gris,the-painter-s-window-1925.jpg,1
19,juan-gris,the-open-book-1925-1.jpg,1
20,dorothy-lathrop,illustration-for-down-adown-derry.jpg,1
21,dorothy-lathrop,illustration-for-down-adown-derry-2.jpg,1
22,dorothy-lathrop,illustration-for-fairy-circus.jpg,1
23,dorothy-lathrop,illustration-for-fairy-circus-2.jpg,1
24,dorothy-lathrop,illustration-for-the-three-mulla-mulgars.jpg,1
25,dorothy-lathrop,illustration-for-the-treasure-of-carcassonne.jpg,1
26,dorothy-lathrop,jaspa-and-me-1949.jpg,1
27,dorothy-lathrop,mr-bumps-and-his-monkey-by-walter-de-la-mare-1942-1.jpg,1
28,dorothy-lathrop,mr-bumps-and-his-monkey-by-walter-de-la-mare-1942.jpg,1
29,dorothy-lathrop,illus-for-her-own-the-lost-merry-go-round-1934.jpg,1
30,dorothy-lathrop,the-fairy-circus-1931-9.jpg,1
31,dorothy-lathrop,the-fairy-circus-1931-8.jpg,1
32,dorothy-lathrop,the-fairy-circus-1931-7.jpg,1
33,dorothy-lathrop,the-fairy-circus-1931-6.jpg,1
34,dorothy-lathrop,the-fairy-circus-1931-5.jpg,1
35,dorothy-lathrop,the-fairy-circus-1931-4.jpg,1
36,dorothy-lathrop,the-fairy-circus-1931-3.jpg,1
37,dorothy-lathrop,the-fairy-circus-1931-2.jpg,1
38,dorothy-lathrop,the-fairy-circus-1931-1.jpg,1
39,dorothy-lathrop,the-fairy-circus-1931.jpg,1
40,duccio,madonna-1300.jpg,1
41,duccio,scenes-from-passion-of-christ-1308.jpg,1
42,duccio,madonna-and-child-on-a-throne-front-side-fragment-1311-2.jpg,1
43,duccio,madonna-and-child-on-a-throne-front-1311.jpg,1
44,duccio,the-three-marys-at-the-tomb-1311.jpg,1
45,duccio,the-virgin-and-child-on-a-throne-fragment-1311.jpg,1
46,duccio,the-vocation-of-the-apostle-peter-fragment-1311(1).jpg,1
47,duccio,view-the-back-side-1311.jpg,1
48,duccio,the-madonna-and-child-with-saints-1318.jpg,1
49,duccio,washing-of-feet-fragment-1311-1.jpg,1
50,duccio,washing-of-feet-fragment-1311.jpg,1
51,duccio,washing-of-feet-1311.jpg,1
52,duccio,the-three-marys-at-the-tomb-fragment-1311.jpg,1
53,duccio,the-presentation-in-the-temple-1311.jpg,1
54,duccio,the-position-of-mary-in-the-tomb-fragment-1311.jpg,1
55,duccio,the-last-supper-fragment-1311.jpg,1
56,duccio,the-last-supper-1311.jpg,1
57,duccio,the-high-priests-before-pilate-1311.jpg,1
58,duccio,the-death-of-mary-fragment-1311.jpg,1
59,duccio,the-crucifixion-1311.jpg,1
60,marianne-north,a-piece-of-sugar-cane-1870.jpg,1
61,marianne-north,flor-de-pascua-or-easter-flower-at-morro-velho-brazil-1873.jpg,1
62,marianne-north,flor-imperiale-coral-snake-and-spider-brazil-1873.jpg,1
63,marianne-north,a-fallen-giant-calaveras-grove-california-1875.jpg,1
64,marianne-north,durian-fruit-from-a-large-tree-sarawak-borneo-1876.jpg,1
65,marianne-north,a-darjeeling-oak-festooned-with-a-climber-1878.jpg,1
66,marianne-north,exotic-fish-1880.jpg,1
67,marianne-north,possum-up-a-gum-tree-1880.jpg,1
68,marianne-north,red-sea-1880.jpg,1
69,marianne-north,the-street-of-blood-delhi-1880.jpg,1
70,marianne-north,strelitzia-and-sugar-birds-south-africa-1882.jpg,1
71,marianne-north,male-and-female-trees-of-the-coco-de-mer-in-praslin-1883.jpg,1
72,marianne-north,male-inflorescence-and-ripe-nuts-of-the-coco-de-mer-seychelles-1883.jpg,1
73,marianne-north,view-of-round-island-and-a-part-of-st-anne-s-from-quarantine-island-1883.jpg,1
74,marianne-north,seychelles-pitcher-plant-and-bilimb-marron-1883.jpg,1
75,marianne-north,life-on-the-coast-of-praslin-seychelles-1883.jpg,1
76,marianne-north,fruit-grown-in-the-seychelles-1883.jpg,1
77,marianne-north,wild-flowers-of-ceres-south-africa-1882.jpg,1
78,marianne-north,two-flowering-shrubs-of-natal-and-a-trogon-1882.jpg,1
79,marianne-north,touch-me-not-and-sugar-birds-at-tulbagh-south-africa-1882.jpg,1
80,william-blake,oberon-titania-and-puck-with-fairies-dancing(1).jpg,1
81,william-blake,the-ancient-of-days-1794.jpg,1
82,william-blake,isaac-newton-1795.jpg,1
83,william-blake,the-red-dragon-and-the-woman-clothed-with-the-sun-1805.jpg,1
84,william-blake,the-ghost-of-a-flea-1820.jpg,1
85,william-blake,the-body-of-abel-found-by-adam-eve.jpg,1
86,william-blake,the-lovers-whirlwind-1827.jpg,1
87,william-blake,antaeus-setting-down-dante-and-virgil-in-the-last-circle-of-hell-1827.jpg,1
88,william-blake,satan-smiting-job-with-boils-1826.jpg,1
89,william-blake,songs-of-innocence-1825.jpg,1
90,william-blake,job-accepting-charity-1825.jpg,1
91,william-blake,beatrice.jpg,1
92,william-blake,the-parable-of-the-wise-and-foolish-virgins-1822.jpg,1
93,william-blake,when-the-morning-stars-sang-together-1820.jpg,1
94,william-blake,the-youthful-poet-s-dream-1820.jpg,1
95,william-blake,the-wandering-moon-1820.jpg,1
96,william-blake,the-sun-in-his-wrath-1820.jpg,1
97,william-blake,the-sun-at-his-eastern-gate-1820.jpg,1
98,william-blake,the-spirit-of-plato-1820.jpg,1
99,william-blake,the-goblin-1820.jpg,1
100,theophile-steinlen,des-chats-1898.jpg,1
101,theophile-steinlen,old-cat-1902.jpg,1
102,theophile-steinlen,cats-1910.jpg,1
103,theophile-steinlen,le-chat-enerve.jpg,1
104,theophile-steinlen,siamese-cat-and-her-kitten.jpg,1
105,theophile-steinlen,portrait-of-frank-brangwyn-1923.jpg,1
106,theophile-steinlen,cats-sleeping-in-the-studio-1922.jpg,1
107,theophile-steinlen,autour-de-nos-moulins-cover-1922.jpg,1
108,theophile-steinlen,bon-bock-diner-1922.jpg,1
109,theophile-steinlen,jehan-rictus-1921.jpg,1
110,theophile-steinlen,portrait-of-woman-in-blue-blouse-1920.jpg,1
111,theophile-steinlen,ligue-populaire-antialcoolique-1920.jpg,1
112,theophile-steinlen,le-vieux-village-de-montmartre-1920.jpg,1
113,theophile-steinlen,la-maternelle-1920.jpg,1
114,theophile-steinlen,landscape-of-belmont-1919.jpg,1
115,theophile-steinlen,journee-des-regions-liberees-1919.jpg,1
116,theophile-steinlen,l-aisne-devastee-1918-3.jpg,1
117,theophile-steinlen,pendant-qu-arsene-se-bat-1918.jpg,1
118,theophile-steinlen,la-guerre-1918.jpg,1
119,theophile-steinlen,l-aisne-devastee-1918-2.jpg,1
120,giotto,the-trial-by-fire-st-francis-offers-to-walk-through-fire-to-convert-the-sultan-of-egypt-1297.jpg,1
121,giotto,confirmation-of-the-rule-1299.jpg,1
122,giotto,death-and-ascension-of-st-francis-1300.jpg,1
123,giotto,the-road-to-calvary.jpg,1
124,giotto,lamentation-the-mourning-of-christ.jpg,1
125,giotto,pentecost-1.jpg,1
126,giotto,the-arrest-of-christ-kiss-of-judas.jpg,1
127,giotto,adoration-of-the-magi-1306.jpg,1
128,giotto,madonna-in-maest-ognissanti-madonna-1310-1.jpg,1
129,giotto,feast-of-herod-1320.jpg,1
130,giotto,the-crucifixion-3.jpg,1
131,giotto,the-birth-of-st-john-the-baptist-and-his-father-zacharias-writing-his-name.jpg,1
132,giotto,the-crucifixion-5.jpg,1
133,giotto,polyptych.jpg,1
134,giotto,baroncelli-polyptych.jpg,1
135,giotto,madonna-and-child.jpg,1
136,giotto,the-stefaneschi-triptych.jpg,1
137,giotto,the-crucifixion-4.jpg,1
138,giotto,madonna-and-child-3.jpg,1
139,giotto,crucifixion-2.jpg,1
140,georgia-o-keeffe,blue-02.jpg,1
141,georgia-o-keeffe,sunrise.jpg,1
142,georgia-o-keeffe,nude-series-viii.jpg,1
143,georgia-o-keeffe,music-pink-and-blue-ii.jpg,1
144,georgia-o-keeffe,series-i-no-3.jpg,1
145,georgia-o-keeffe,grey-line-with-black-blue-and-yellow.jpg,1
146,georgia-o-keeffe,red-canna-3.jpg,1
147,georgia-o-keeffe,from-the-lake.jpg,1
148,georgia-o-keeffe,light-of-iris.jpg,1
149,georgia-o-keeffe,city-night.jpg,1
150,georgia-o-keeffe,abstraction-white-rose.jpg,1
151,georgia-o-keeffe,calla-lily-on-grey.jpg,1
152,georgia-o-keeffe,oriental-poppies.jpg,1
153,georgia-o-keeffe,pink-dish-and-green-leaves.jpg,1
154,georgia-o-keeffe,jack-in-the-pulpit-iii.jpg,1
155,georgia-o-keeffe,horse-s-skull-with-pink-rose.jpg,1
156,georgia-o-keeffe,bleeding-heart.jpg,1
157,georgia-o-keeffe,jimson-weed.jpg,1
158,georgia-o-keeffe,manhattan.jpg,1
159,georgia-o-keeffe,blue-morning-glories.jpg,1
160,zdislav-beksinski,untitled-1978-1.jpg,1
161,zdislav-beksinski,untitled-1998.jpg,1
162,zdislav-beksinski,untitled-158.jpg,1
163,zdislav-beksinski,untitled-164.jpg,1
164,zdislav-beksinski,untitled-166.jpg,1
165,zdislav-beksinski,untitled-168.jpg,1
166,hieronymus-bosch,the-concert-in-the-egg-1480.jpg,1
167,hieronymus-bosch,this-is-a-human-ecce-homo.jpg,1
168,hieronymus-bosch,the-seven-deadly-sins-and-the-four-last-things-1485.jpg,1
169,hieronymus-bosch,haywain-1500-7.jpg,1
170,hieronymus-bosch,st-jerome-praying-1500.jpg,1
171,hieronymus-bosch,ascent-of-the-blessed-1504.jpg,1
172,hieronymus-bosch,temptation-of-st-anthony-3.jpg,1
173,hieronymus-bosch,christ-crowned-with-thorns-1510.jpg,1
174,hieronymus-bosch,the-garden-of-earthly-delights-1515-7.jpg,1
175,hieronymus-bosch,triptych-the-temptation-of-st-anthony-1516.jpg,1
176,hieronymus-bosch,the-cure-of-folly.jpg,1
177,hieronymus-bosch,paradise.jpg,1
178,hieronymus-bosch,adoration-of-the-child.jpg,1
179,hieronymus-bosch,the-ship-of-fools-in-flames.jpg,1
180,hieronymus-bosch,the-house-of-ill-fame.jpg,1
181,hieronymus-bosch,the-carrying-of-the-cross-christ-and-st-veronica.jpg,1
182,hieronymus-bosch,nest-of-owls.jpg,1
183,hieronymus-bosch,haywain-2.jpg,1
184,hieronymus-bosch,haywain-1.jpg,1
185,hieronymus-bosch,haywain.jpg,1
