,artist,paintings,code,style,style_code,year
0,sergey-solomko,moscow-in-the-xii-century.jpg,0,Art Nouveau (Modern),7,
1,sergey-solomko,idyll.jpg,0,Art Nouveau (Modern),7,
2,sergey-solomko,new-russia-sow-a-reasonable-good-eternal.jpg,0,Art Nouveau (Modern),7,
3,sergey-solomko,age-scythian-tsarevna-iii-th-century-bc.jpg,0,Art Nouveau (Modern),7,
4,sergey-solomko,blessed-be-the-house-where-a-stork-nested-1917.jpg,0,Art Nouveau (Modern),7,1917
5,sergey-solomko,seducer-1.jpg,0,Art Nouveau (Modern),7,
6,sergey-solomko,returning-from-matins.jpg,0,Art Nouveau (Modern),7,
7,sergey-solomko,young-woman-in-hat.jpg,0,Art Nouveau (Modern),7,
8,sergey-solomko,the-enemy-conseals-himself.jpg,0,Art Nouveau (Modern),7,
9,sergey-solomko,blarney.jpg,0,Art Nouveau (Modern),7,
10,sergey-solomko,on-the-way-to-victory.jpg,0,Art Nouveau (Modern),7,
11,sergey-solomko,bookplate-of-v-i-klochkov-2.jpg,0,Art Nouveau (Modern),7,
12,sergey-solomko,the-pursuit-of-happyness.jpg,0,Art Nouveau (Modern),7,
13,sergey-solomko,ripe-fruits.jpg,0,Art Nouveau (Modern),7,
14,sergey-solomko,sketch-of-the-poster-pillory.jpg,0,Art Nouveau (Modern),7,1916
15,sergey-solomko,costume-designs-1.jpg,0,Art Nouveau (Modern),7,
16,sergey-solomko,zabava-putyatichna.jpg,0,Art Nouveau (Modern),7,
17,sergey-solomko,virgo-comforter.jpg,0,Art Nouveau (Modern),7,
18,sergey-solomko,date-2.jpg,0,Art Nouveau (Modern),7,
19,sergey-solomko,age-of-quietest-king-aleksey-mikhailovich.jpg,0,Art Nouveau (Modern),7,
20,sergey-solomko,age-of-blessed-memory-of-the-12th-year.jpg,0,Art Nouveau (Modern),7,
21,sergey-solomko,promise.jpg,0,Art Nouveau (Modern),7,
22,sergey-solomko,escape.jpg,0,Art Nouveau (Modern),7,1915
23,sergey-solomko,queen-azvyakovna.jpg,0,Art Nouveau (Modern),7,
24,sergey-solomko,caught.jpg,0,Art Nouveau (Modern),7,
25,sergey-solomko,evening-walk.jpg,0,Art Nouveau (Modern),7,
26,sergey-solomko,the-nocturne-review-1914.jpg,0,Art Nouveau (Modern),7,1914
27,sergey-solomko,costume-designs-3.jpg,0,Art Nouveau (Modern),7,
28,sergey-solomko,fantasy.jpg,0,Art Nouveau (Modern),7,
29,sergey-solomko,meeting-4.jpg,0,Art Nouveau (Modern),7,
30,sergey-solomko,plate-egyptian-queen.jpg,0,Art Nouveau (Modern),7,
31,sergey-solomko,song-without-words.jpg,0,Art Nouveau (Modern),7,
32,sergey-solomko,memory-1910.jpg,0,Art Nouveau (Modern),7,1910
33,sergey-solomko,love-talk.jpg,0,Art Nouveau (Modern),7,
34,sergey-solomko,fortune-telling.jpg,0,Art Nouveau (Modern),7,
35,sergey-solomko,visiting.jpg,0,Art Nouveau (Modern),7,
36,sergey-solomko,temptation.jpg,0,Art Nouveau (Modern),7,
37,sergey-solomko,russian-in-the-netherlands-at-the-time-of-peter-the-great.jpg,0,Art Nouveau (Modern),7,
38,sergey-solomko,dream-of-icarus.jpg,0,Art Nouveau (Modern),7,
39,sergey-solomko,seducer.jpg,0,Art Nouveau (Modern),7,
40,sergey-solomko,pearl-of-creation.jpg,0,Art Nouveau (Modern),7,
41,sergey-solomko,france-blesses-his-children-before-the-sacred-heart-of-jesus.jpg,0,Art Nouveau (Modern),7,
42,sergey-solomko,st-jenevieve-and-the-new-attila.jpg,0,Art Nouveau (Modern),7,
43,sergey-solomko,costume-designs.jpg,0,Art Nouveau (Modern),7,
44,sergey-solomko,for-you-brave-soldier.jpg,0,Art Nouveau (Modern),7,
45,sergey-solomko,bookplate-of-v-i-klochkov-3.jpg,0,Art Nouveau (Modern),7,
46,sergey-solomko,young-lovers.jpg,0,Art Nouveau (Modern),7,
47,sergey-solomko,age-at-the-turn-of-xx-century.jpg,0,Art Nouveau (Modern),7,
48,sergey-solomko,flirting-boyar.jpg,0,Art Nouveau (Modern),7,
49,sergey-solomko,to-the-light-of-science.jpg,0,Art Nouveau (Modern),7,
50,sergey-solomko,date.jpg,0,Art Nouveau (Modern),7,
51,sergey-solomko,nastassja-korolevichna.jpg,0,Art Nouveau (Modern),7,
52,sergey-solomko,tenderness.jpg,0,Art Nouveau (Modern),7,
53,sergey-solomko,portrait-of-italian-young-man.jpg,0,Art Nouveau (Modern),7,
54,sergey-solomko,christ-is-risen.jpg,0,Art Nouveau (Modern),7,
55,sergey-solomko,a-serious-question.jpg,0,Art Nouveau (Modern),7,
56,sergey-solomko,lady-with-peacock.jpg,0,Art Nouveau (Modern),7,
57,sergey-solomko,joseph-and-potiphar-s-wife.jpg,0,Art Nouveau (Modern),7,
58,sergey-solomko,persian-woman-twisting-a-carpet.jpg,0,Art Nouveau (Modern),7,
59,sergey-solomko,red-cross.jpg,0,Art Nouveau (Modern),7,
60,sergey-solomko,conversation.jpg,0,Art Nouveau (Modern),7,
61,sergey-solomko,vive-la-france-1916.jpg,0,Art Nouveau (Modern),7,1916
62,sergey-solomko,design-of-male-medieval-costume.jpg,0,Art Nouveau (Modern),7,
63,sergey-solomko,waiting.jpg,0,Art Nouveau (Modern),7,
64,sergey-solomko,meeting-3.jpg,0,Art Nouveau (Modern),7,
65,sergey-solomko,scribe.jpg,0,Art Nouveau (Modern),7,
66,sergey-solomko,xvii-century.jpg,0,Art Nouveau (Modern),7,
67,sergey-solomko,embrace.jpg,0,Art Nouveau (Modern),7,
68,sergey-solomko,vanity.jpg,0,Art Nouveau (Modern),7,
69,sergey-solomko,mermaid-and-faun.jpg,0,Art Nouveau (Modern),7,1904
70,sergey-solomko,bird-fancier.jpg,0,Art Nouveau (Modern),7,
71,sergey-solomko,age-of-vladimir-and-yaroslav.jpg,0,Art Nouveau (Modern),7,
72,sergey-solomko,fairy-tale.jpg,0,Art Nouveau (Modern),7,
73,sergey-solomko,venetian-sketch.jpg,0,Art Nouveau (Modern),7,
74,sergey-solomko,bookplate-of-v-i-klochkov-1.jpg,0,Art Nouveau (Modern),7,
75,sergey-solomko,sketch-of-the-costume.jpg,0,Art Nouveau (Modern),7,
76,sergey-solomko,russian-types.jpg,0,Art Nouveau (Modern),7,
77,sergey-solomko,banquet.jpg,0,Art Nouveau (Modern),7,
78,sergey-solomko,st-george-coming-to-the-rescue.jpg,0,Art Nouveau (Modern),7,
79,sergey-solomko,vasilisa-mikulishna.jpg,0,Art Nouveau (Modern),7,
80,sergey-solomko,hide-and-seek.jpg,0,Art Nouveau (Modern),7,
81,sergey-solomko,wedding-ceremony-middle-ages-1909.jpg,0,Art Nouveau (Modern),7,1909
82,sergey-solomko,on-the-bridge.jpg,0,Art Nouveau (Modern),7,
83,sergey-solomko,bookplate-of-v-i-klochkov.jpg,0,Art Nouveau (Modern),7,
84,sergey-solomko,blue-bird-bird-sirin.jpg,0,Art Nouveau (Modern),7,
85,sergey-solomko,meeting-1.jpg,0,Art Nouveau (Modern),7,
86,sergey-solomko,small-chicken-become-great-cocks.jpg,0,Art Nouveau (Modern),7,
87,sergey-solomko,at-the-fair.jpg,0,Art Nouveau (Modern),7,
88,sergey-solomko,byzantium.jpg,0,Art Nouveau (Modern),7,
89,sergey-solomko,xviii-century.jpg,0,Art Nouveau (Modern),7,
90,sergey-solomko,the-head-of-the-roman-youth.jpg,0,Art Nouveau (Modern),7,
91,sergey-solomko,fortune-is-silver-but-victory-is-gold.jpg,0,Art Nouveau (Modern),7,
92,sergey-solomko,parisian.jpg,0,Art Nouveau (Modern),7,
93,sergey-solomko,reading.jpg,0,Art Nouveau (Modern),7,1895
94,sergey-solomko,age-at-the-dawn-of-history-amazon.jpg,0,Art Nouveau (Modern),7,
95,sergey-solomko,study-to-illustration-for-mademoiselle-de-maupin-of-th-ophile-gautier.jpg,0,Art Nouveau (Modern),7,
96,sergey-solomko,forever-together.jpg,0,Art Nouveau (Modern),7,
97,sergey-solomko,who.jpg,0,Art Nouveau (Modern),7,
98,sergey-solomko,date-1.jpg,0,Art Nouveau (Modern),7,
